BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily HR (10+),47.61273,1,0.22,11.88,53290,High-Rise Multifamily,1980,EAST,-122.32481,11,Multifamily Housing,83
Multifamily HR (10+),47.61277,1,0.76,72.5,95700,High-Rise Multifamily,1970,DOWNTOWN,-122.34614,16,Multifamily Housing,66
Multifamily HR (10+),47.61296,1,1.06,509.36,480789,High-Rise Multifamily,2010,DOWNTOWN,-122.33926,31,Multifamily Housing,86
Multifamily HR (10+),47.61297,1,0.77,137.94,179745,High-Rise Multifamily,1970,DOWNTOWN,-122.33263,23,Multifamily Housing,11
Multifamily HR (10+),47.61324,1,1.25,622.23,499477,High-Rise Multifamily,2014,DOWNTOWN,-122.33223,41,Multifamily Housing,40
Multifamily HR (10+),47.61353,1,0.51,96.2,187080,High-Rise Multifamily,1973,DOWNTOWN,-122.34232,26,Multifamily Housing,86
Multifamily HR (10+),47.61388,1,0.39,45.6,117069,High-Rise Multifamily,1979,DOWNTOWN,-122.34405,27,Multifamily Housing,75
Multifamily HR (10+),47.61397,1,0.66,332.85,501239,Other,2008,DOWNTOWN,-122.33351,27,Other,75
Multifamily HR (10+),47.61428,1,0.7,86.99,123686,High-Rise Multifamily,2014,DOWNTOWN,-122.35056,12,Multifamily Housing,77
Multifamily HR (10+),47.61447,1,0.85,251.43,295754,High-Rise Multifamily,2013,DOWNTOWN,-122.34101,24,Multifamily Housing,55
Multifamily HR (10+),47.61455,1,1.09,101.43,93021,High-Rise Multifamily,1972,Central,-122.31043,12,Multifamily Housing,14
Multifamily HR (10+),47.6147,1,0.48,77.29,161722,High-Rise Multifamily,2013,DOWNTOWN,-122.35238,13,Multifamily Housing,71
Multifamily HR (10+),47.61477,1,1.38,283.04,205779,High-Rise Multifamily,2002,DOWNTOWN,-122.35129,12,Multifamily Housing,50
Multifamily HR (10+),47.61487,1,1.1,594.48,538339,High-Rise Multifamily,2001,DOWNTOWN,-122.33748,31,Multifamily Housing,47
Multifamily HR (10+),47.61498,1,0.32,29.33,91600,High-Rise Multifamily,1978,DOWNTOWN,-122.3438,13,Multifamily Housing,18
Multifamily HR (10+),47.61502,1,1.37,145.35,106066,High-Rise Multifamily,2003,DOWNTOWN,-122.35263,13,Multifamily Housing,61
