BuildingType,ENERGYSTARScore,Electricity(kBtu),DefaultData,SourceEUI(kBtu/sf),SiteEUI(kBtu/sf),TotalGHGEmissions,SteamUse(kBtu),SiteEnergyUseWN(kBtu),YearBuilt,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),PropertyGFATotal,Electricity(kWh),NumberofFloors,PrimaryPropertyType,Longitude,NumberofBuildings,GHGEmissionsIntensity,Latitude,SiteEnergyUse(kBtu),NaturalGas(kBtu),NaturalGas(therms),LargestPropertyUseType
Multifamily HR (10+),33,6769491,0,127,55.09999847,285.62,0,12058589,2000,59,132.5,264239,1984024.25,12,High-Rise Multifamily,-122.35209,1,1.08,47.61631,11258880,4489389,44893.88672,Multifamily Housing
Multifamily HR (10+),34,1084475,0,134.6000061,45.09999847,12.15,0,1170864.125,1992,45.09999847,134.6000061,31152,317841.4063,10,High-Rise Multifamily,-122.32742,1,0.39,47.62272,1170864.125,86389,863.8900146,Multifamily Housing
Multifamily HR (10+),34,7681559,0,158,66,280.35,0,12332987,2014,68.09999847,160.1999969,237186,2251336.25,25,High-Rise Multifamily,-122.34091,1,1.18,47.61105,11951945,4270385,42703.84766,Multifamily Housing
Multifamily HR (10+),40,623335,0,126.3000031,87.80000305,149.53,0,3656318.75,1960,95.69999695,134.8999939,38220,182689.0938,10,High-Rise Multifamily,-122.32303,1,3.91,47.61249,3356932.25,2733597,27335.9707,Multifamily Housing
Multifamily HR (10+),40,2577298,0,106.1999969,67.30000305,423.51,0,11115936,1957,73.30000305,112.4000015,151680,755362.875,16,High-Rise Multifamily,-122.32976,1,2.79,47.6122,10213132,7635833,76358.32813,Multifamily Housing
Multifamily HR (10+),40,2658056,0,124,48.09999847,70.4,0,3852116.5,1973,51,132.1999969,76094,779031.6875,12,High-Rise Multifamily,-122.32599,1,0.93,47.60028,3634625.75,976569,9765.69043,Multifamily Housing
Multifamily HR (10+),40,10250156,0,140.1000061,67.09999847,622.23,0,0,2014,0,0,499477,3004149,41,High-Rise Multifamily,-122.33223,1,1.25,47.61324,20657852,10370435,103704.3516,Multifamily Housing
Multifamily HR (10+),41,3020182,0,128.8999939,46.29999924,53.87,0,3868281.75,1971,49.20000076,137.5,78600,885164.625,10,High-Rise Multifamily,-122.32038,1,0.69,47.6624,3637973,617791,6177.910156,Multifamily Housing
Multifamily HR (10+),42,2020862,0,110.8000031,66,263.37,0,6739209,1960,66.30000305,111.5999985,101706,592280.875,10,High-Rise Multifamily,-122.32611,1,2.59,47.61174,6714540,4693677,46936.77344,Multifamily Housing
Multifamily HR (10+),42,30306111,0,117.0999985,49.40000153,1148.5,0,50868268,2000,52.40000153,124.4000015,1256335,8882213,28,High-Rise Multifamily,-122.33817,1,0.91,47.60635,47952868,17646755,176467.5469,Multifamily Housing
Multifamily HR (10+),46,9161370,0,145.3999939,46.29999924,63.87,0,9161371,1960,46.29999924,145.3999939,241387,2685044,10,Senior Care Community,-122.35736,1,0.26,47.62684,9161371,0,0,Senior Care Community
Multifamily HR (10+),47,8969953,0,121.6999969,46.5,221.47,0,12176139,2014,47.29999924,122.5,434839,2628942.75,32,High-Rise Multifamily,-122.32977,1,0.51,47.60967,11962615,2992662,29926.61719,Multifamily Housing
Multifamily HR (10+),47,9366270,0,125.3000031,62.90000153,671.55,0,21779722,2008,65.90000153,127.4000015,330693,2745096.75,38,High-Rise Multifamily,-122.33962,1,2.03,47.60976,20781390,11415119,114151.1875,Multifamily Housing
Multifamily HR (10+),47,13120121,0,95,42,594.48,0,24212986,2001,45,98.90000153,538339,3845287.5,31,High-Rise Multifamily,-122.33748,1,1.1,47.61487,22591288,9471167,94711.67188,Multifamily Housing
Multifamily HR (10+),48,3007844,0,129.8000031,48.70000076,67.98,0,4188159,1971,52.40000153,141.3000031,78199,881548.6875,11,High-Rise Multifamily,-122.31516,1,0.87,47.62383,3893073.5,885229,8852.290039,Multifamily Housing
Multifamily HR (10+),49,1849153,0,105.1999969,55.40000153,259.77,3071838.5,5475504.5,1967,59.40000153,110,92183,541955.875,11,High-Rise Multifamily,-122.32171,1,2.82,47.60445,5104947,183955,1839.550049,Multifamily Housing
Multifamily HR (10+),49,5571739,0,100.1999969,36.20000076,102.6,0,7238674,2007,38.70000076,105.6999969,187139,1632983.25,13,High-Rise Multifamily,-122.35211,1,0.55,47.61574,6772289,1200549,12005.49023,Multifamily Housing
Multifamily HR (10+),50,5015837,0,124,58.09999847,283.04,0,10371059,2002,62.29999924,129.3999939,205779,1470057.625,12,High-Rise Multifamily,-122.35129,1,1.38,47.61477,9686734,4670897,46708.96875,Multifamily Housing
Multifamily HR (10+),53,4249700,0,105.9000015,42.20000076,126.53,0,6377454,2007,44.29999924,110.4000015,175353,1245515.875,12,High-Rise Multifamily,-122.34902,1,0.72,47.61754,6074249,1824548,18245.48047,Multifamily Housing
Multifamily HR (10+),54,1201781,0,86.5,27.60000038,8.38,0,1331663.125,1963,30.5,95.90000153,52334,352221.9063,11,High-Rise Multifamily,-122.36293,1,0.16,47.62435,1201781.125,0,0,Multifamily Housing
Multifamily HR (10+),54,4144319,0,95.30000305,39.40000153,144.45,0,6812364.5,2001,42.40000153,100.8000031,162865,1214630.5,12,High-Rise Multifamily,-122.35189,1,0.89,47.61511,6320060,2175740,21757.40039,Multifamily Housing
Multifamily HR (10+),55,6125547,0,95,40.90000153,251.43,0,10475740,2013,42.59999847,97.5,295754,1795295.25,24,High-Rise Multifamily,-122.34101,1,0.85,47.61447,10055690,3930142,39301.41797,Multifamily Housing
Multifamily HR (10+),55,7459417,0,137.6000061,43.79999924,52,0,7832284,1983,46,144.3999939,195788,2186230,22,High-Rise Multifamily,-122.33746,1,0.27,47.60551,7459418,0,0,Multifamily Housing
Multifamily HR (10+),57,2849805,0,117.0999985,49.20000076,105.97,0,4708260.5,2007,51.79999924,124.3000031,90959,835230.1875,13,High-Rise Multifamily,-122.33121,1,1.17,47.60154,4471029,1621223,16212.22949,Multifamily Housing
Multifamily HR (10+),61,2591895,1,85.19999695,39.90000153,145.35,0,5128380,2003,41,86.19999695,106066,759641,13,High-Rise Multifamily,-122.35263,1,1.37,47.61502,4988493.5,2396598,23965.98047,Multifamily Housing
Multifamily HR (10+),62,6616178,0,110,39.79999924,123.15,0,8101542.5,2013,40,110.1999969,194228,1939091,16,High-Rise Multifamily,-122.33615,1,0.63,47.60336,8066399.5,1450220,14502.2002,Multifamily Housing
Multifamily HR (10+),63,8815730,0,93,29.60000038,61.46,0,8955526,2006,30.10000038,94.5,299755,2583742.75,33,High-Rise Multifamily,-122.33576,1,0.21,47.6161,8815732,0,0,Multifamily Housing
Multifamily HR (10+),66,2723268,0,119.4000015,46.40000153,72.5,0,3976902.75,1970,49.40000153,128.3000031,95700,798144.1875,16,High-Rise Multifamily,-122.34614,1,0.76,47.61277,3730953.5,1007685,10076.85059,Multifamily Housing
Multifamily HR (10+),67,3002811,0,93.30000305,39.70000076,117.79,0,5202618.5,1980,42.79999924,100.5999985,125258,880073.6875,18,High-Rise Multifamily,-122.34973,1,0.94,47.61612,4826430,1823618,18236.17969,Multifamily Housing
Multifamily HR (10+),67,4565192,0,128,57.90000153,312.13,2796766,9195011,1907,62,136.3000031,148219,1337981.375,14,High-Rise Multifamily,-122.34044,1,2.11,47.61117,8575114,1213155,12131.55078,Multifamily Housing
Multifamily HR (10+),68,5106786,0,115.3000031,36.70000076,35.6,0,5408728.5,1969,38.90000153,122.0999985,139127,1496713.375,10,High-Rise Multifamily,-122.32759,1,0.26,47.61882,5106786.5,0,0,Multifamily Housing
Multifamily HR (10+),69,5431236,0,108.1999969,47.29999924,236.05,0,9650151,2012,49.79999924,113,236148,1591804.25,17,High-Rise Multifamily,-122.324,1,1,47.61022,9162810,3731573,37315.73438,Multifamily Housing
Multifamily HR (10+),71,3659799,0,93.69999695,34.70000076,77.29,0,4767092.5,2013,35.70000076,96.5,161722,1072625.875,13,High-Rise Multifamily,-122.35238,1,0.48,47.6147,4634655,974855,9748.549805,Multifamily Housing
Multifamily HR (10+),71,7108743,0,106,45.79999924,295.38,0,12385768,1949,48.29999924,113.9000015,333244,2083453.375,14,High-Rise Multifamily,-122.32787,1,0.89,47.6085,11737324,4628580,46285.79688,Multifamily Housing
Multifamily HR (10+),71,21248527,0,94.59999847,40.29999924,1216.05,12508892,37380104,1954,42.20000076,96.90000153,756740,6227587,19,Senior Care Community,-122.32932,1,1.61,47.61088,35685224,1927801,19278.00586,Senior Care Community
Multifamily HR (10+),72,2320012,0,105,34,19.1,0,2569659.75,1971,36.70000076,113.6999969,72831,679956.5,11,High-Rise Multifamily,-122.3149,1,0.26,47.66341,2375104,55092,550.9199219,Multifamily Housing
Multifamily HR (10+),73,2929233,0,68.5,27.60000038,91.53,0,4377787.5,1985,28.29999924,69.19999695,154889,858509,13,High-Rise Multifamily,-122.33978,1,0.59,47.60805,4268054,1338821,13388.20996,Multifamily Housing
Multifamily HR (10+),73,17471240,0,85.80000305,34.5,542.74,0,26200772,2012,35.59999847,88.19999695,602398,5120527.5,24,High-Rise Multifamily,-122.34041,1,0.9,47.61531,25397086,7925844,79258.4375,Multifamily Housing
Multifamily HR (10+),75,1458172,0,106.9000015,60.40000153,281.25,3512026.5,5416150,1927,65.80000305,113.5,95280,427365.8125,12,High-Rise Multifamily,-122.32669,1,2.95,47.61137,4970199,0,0,Multifamily Housing
Multifamily HR (10+),75,1693477,0,98.09999847,55.79999924,336.73,4209466,6326284.5,1928,59.79999924,103,105776,496329.5938,11,High-Rise Multifamily,-122.32896,1,3.18,47.60892,5902943,0,0,Multifamily Housing
Multifamily HR (10+),75,2154352,0,98.69999695,40.29999924,71.71,0,3419861.5,1971,42.79999924,105.5,73898,631404.3125,15,High-Rise Multifamily,-122.31551,1,0.97,47.5882,3221754,1067402,10674.02051,Multifamily Housing
Multifamily HR (10+),75,2231200,0,146.8000031,57.90000153,93.87,1014571.688,3380476.5,1906,60.29999924,153.5,65535,653927.3125,10,High-Rise Multifamily,-122.33383,1,1.43,47.60257,3245772,0,0,Multifamily Housing
Multifamily HR (10+),75,2361885,0,118.5,46.59999847,66.7,0,3580549.5,1984,50.5,129.6000061,70939,692229,12,High-Rise Multifamily,-122.34037,1,0.94,47.60806,3307792.5,945907,9459.070313,Multifamily Housing
Multifamily HR (10+),75,2938894,0,90.80000305,31.60000038,43.2,0,3597577.25,2004,33.79999924,96.40000153,120405,861340.5,13,High-Rise Multifamily,-122.35149,1,0.36,47.61598,3366510,427616,4276.160156,Multifamily Housing
Multifamily HR (10+),75,3542770,0,89.90000153,36.09999847,109.72,0,5697288,1970,40,98.5,94000,1038326.5,21,High-Rise Multifamily,-122.32946,1,1.17,47.60929,5143676.5,1600906,16009.05957,Multifamily Housing
Multifamily HR (10+),75,3955526,0,113.1999969,54.29999924,393.2,4736800.5,9467508,1908,59.20000076,121.3000031,177364,1159298.5,11,High-Rise Multifamily,-122.33063,1,2.22,47.60146,8692328,0,0,Multifamily Housing
Multifamily HR (10+),75,4063986,0,168.8000031,69.40000153,138.39,0,6387541.5,1929,72.19999695,171.8000031,99470,1191086.125,13,High-Rise Multifamily,-122.33879,1,1.39,47.6103,6136327.5,2072341,20723.41211,Multifamily Housing
Multifamily HR (10+),75,5346828,0,97.09999847,39.5,175.27,0,8275276,2008,41.20000076,100.9000015,224105,1567065.75,13,High-Rise Multifamily,-122.35225,1,0.78,47.61754,7945081,2598252,25982.51953,Multifamily Housing
Multifamily HR (10+),75,5863982,0,108.5999985,34.90000153,45.6,0,6547260,1979,38.40000153,119.4000015,117069,1718634.75,27,High-Rise Multifamily,-122.34405,1,0.39,47.61388,5952875,88892,888.9199829,Multifamily Housing
Multifamily HR (10+),75,8912398,0,106.3000031,45.29999924,351.53,0,15102601,1993,47.59999847,111.1999969,260685,2612074.5,25,High-Rise Multifamily,-122.34894,1,1.35,47.61633,14361382,5448982,54489.82422,Multifamily Housing
Multifamily HR (10+),75,9164908,0,96.09999847,41.90000153,395.26,0,15404161,2015,41.90000153,96.09999847,319481,2686080.75,40,High-Rise Multifamily,-122.33735,1,1.24,47.61652,15404161,6239252,62392.52344,Multifamily Housing
Multifamily HR (10+),75,10732395,0,128.8000031,51.70000076,332.85,0,16224524,2008,53.79999924,133.3000031,501239,3145485,27,Other,-122.33351,1,0.66,47.61397,15590743,4858347,48583.46875,Other
Multifamily HR (10+),77,1698381,0,100.4000015,45.79999924,86.5,0,3349365.5,1962,49.40000153,109.9000015,67813,497767,11,High-Rise Multifamily,-122.32442,1,1.28,47.62345,3104171.5,1405790,14057.90039,Multifamily Housing
Multifamily HR (10+),77,3323059,0,76.80000305,29.70000076,86.99,0,4573978,2014,30,77.80000305,123686,973933,12,High-Rise Multifamily,-122.35056,1,0.7,47.61428,4524791,1201731,12017.31152,Multifamily Housing
Multifamily HR (10+),77,3324006,0,75.5,46.09999847,474.86,0,12286134,1990,47.90000153,78,284970,974210.3125,10,High-Rise Multifamily,-122.35725,1,1.67,47.72101,11828824,8504818,85048.17969,Multifamily Housing
Multifamily HR (10+),78,6309922,0,101.5999985,32.40000153,44.01,0,6544970,2003,33.59999847,105.4000015,286408,1849332.25,11,High-Rise Multifamily,-122.34261,1,0.15,47.63018,6310254,332,3.320000172,Multifamily Housing
Multifamily HR (10+),80,2714406,0,95.80000305,41.59999847,115.56,0,4855362.5,1950,44.59999847,104.1999969,108228,795547,13,High-Rise Multifamily,-122.32524,1,1.07,47.61028,4533874.5,1819468,18194.67969,Multifamily Housing
Multifamily HR (10+),81,4820370,0,100.4000015,50.59999847,349.55,0,10814285,1967,50.79999924,101.0999985,212938,1412769.75,17,High-Rise Multifamily,-122.32532,1,1.64,47.60492,10769230,5948859,59488.59375,Multifamily Housing
Multifamily HR (10+),81,5788003,0,93.09999847,53.40000153,658.76,0,19111216,1949,58.5,99,393841,1696366.75,18,High-Rise Multifamily,-122.34524,1,1.67,47.61779,17431872,11643866,116438.6641,Multifamily Housing
Multifamily HR (10+),82,718589,0,140.8000031,91.59999847,130.28,0,3493213.5,1928,103.9000015,153.8000031,50141,210606.2969,14,High-Rise Multifamily,-122.33018,1,2.6,47.61531,3077371,2358782,23587.82031,Multifamily Housing
Multifamily HR (10+),83,1703505,0,100.4000015,32,11.88,0,1842664.25,1980,34.59999847,108.5999985,53290,499268.6875,11,High-Rise Multifamily,-122.32481,1,0.22,47.61273,1703504.875,0,0,Multifamily Housing
Multifamily HR (10+),84,3946056,0,108.6999969,44.40000153,130.6,0,5887101.5,2014,44.40000153,108.6999969,201839,1156522.875,13,High-Rise Multifamily,-122.34832,1,0.65,47.61834,5887101.5,1941045,19410.44922,Multifamily Housing
Multifamily HR (10+),85,872505,0,104.4000015,73.5,220.86,0,5487455.5,1929,82,113.3000031,66924,255716.7031,12,High-Rise Multifamily,-122.32367,1,3.3,47.61061,4916451.5,4043946,40439.46094,Multifamily Housing
